h1,m1,h2,m2,age1,age2,sex1,sex2,duration,day,hour
E,23,F,3,3,3,F,M,40,1,14
E,23,F,3,3,3,F,M,40,1,14
E,23,F,3,3,3,F,M,20,1,14
E,23,F,3,3,3,F,M,200,1,15
E,23,F,3,3,3,F,M,20,1,15
E,23,F,3,3,3,F,M,20,1,14
E,23,F,3,3,3,F,M,20,1,14
E,23,F,3,3,3,F,M,20,1,14
E,23,F,3,3,3,F,M,40,1,14
E,23,F,3,3,3,F,M,20,1,14
E,23,F,3,3,3,F,M,20,1,14
E,23,F,3,3,3,F,M,40,1,14
E,23,F,3,3,3,F,M,20,1,14
E,23,F,3,3,3,F,M,120,1,14
E,23,F,3,3,3,F,M,120,1,14
E,23,F,3,3,3,F,M,40,1,14
E,23,F,3,3,3,F,M,40,1,14
E,23,F,3,3,3,F,M,40,1,14
E,2,L,7,0,3,M,F,20,2,10
E,4,L,7,1,3,M,F,20,2,10
E,2,F,11,0,3,M,F,20,3,11
E,2,F,12,0,4,M,F,20,3,11
E,2,F,12,0,4,M,F,20,3,10
E,2,F,1,0,3,M,F,20,3,11
E,2,F,9,0,2,M,M,40,3,11
E,2,F,7,0,2,M,M,60,3,11
E,2,F,10,0,1,M,M,20,3,11
E,5,F,3,0,3,M,M,20,3,11
E,9,F,11,1,3,M,F,20,3,11
E,9,F,9,1,2,M,M,20,3,11
E,9,F,9,1,2,M,M,20,3,11
E,9,F,12,1,4,M,F,20,3,11
E,9,F,7,1,2,M,M,40,3,11
E,10,F,5,0,0,M,F,20,3,11
E,11,F,1,1,3,F,F,20,3,11
E,11,F,10,1,1,F,M,100,3,11
E,11,F,11,1,3,F,F,40,3,11
E,11,F,3,1,3,F,M,40,3,11
E,11,F,3,1,3,F,M,20,3,11
E,11,F,9,1,2,F,M,20,3,11
E,11,F,9,1,2,F,M,20,3,11
E,11,F,9,1,2,F,M,20,3,11
E,11,F,12,1,4,F,F,20,3,11
E,11,F,12,1,4,F,F,20,3,11
E,11,F,7,1,2,F,M,40,3,11
E,15,F,11,3,3,M,F,20,3,11
E,22,F,12,1,4,F,F,20,3,11
E,22,F,1,1,3,F,F,20,3,11
E,25,F,12,1,4,M,F,20,3,10
E,25,F,12,1,4,M,F,20,3,11
E,25,F,3,1,3,M,M,20,3,11
E,25,F,9,1,2,M,M,20,3,11
E,25,F,7,1,2,M,M,20,3,11
E,27,F,12,1,4,F,F,20,3,11
E,27,F,9,1,2,F,M,20,3,11
E,27,F,7,1,2,F,M,20,3,11
F,10,E,22,1,1,M,F,20,1,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,100,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,15
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,60,2,14
F,3,E,23,3,3,M,F,40,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,60,2,14
F,3,E,23,3,3,M,F,20,2,14
F,3,E,23,3,3,M,F,140,2,14
F,3,E,23,3,3,M,F,60,2,14
F,11,L,7,3,3,F,F,20,3,11
L,1,E,2,0,0,M,M,20,2,12
L,1,E,15,0,3,M,M,20,2,12
L,1,E,10,0,0,M,M,40,2,12
L,1,E,10,0,0,M,M,20,2,12
L,1,E,20,0,3,M,M,20,2,12
L,1,E,20,0,3,M,M,40,2,12
L,1,E,20,0,3,M,M,20,2,12
L,1,E,20,0,3,M,M,20,2,12
L,1,E,20,0,3,M,M,20,2,12
L,1,E,17,0,3,M,F,20,2,12
L,1,E,17,0,3,M,F,80,2,12
L,1,E,17,0,3,M,F,20,2,12
L,1,E,17,0,3,M,F,20,2,12
L,1,E,17,0,3,M,F,20,2,12
L,1,E,13,0,3,M,F,20,2,12
L,1,E,13,0,3,M,F,20,2,12
L,1,E,6,0,3,M,M,20,2,12
L,1,E,23,0,3,M,F,20,2,12
L,3,E,2,3,0,F,M,20,2,12
L,3,E,2,3,0,F,M,20,2,12
L,3,E,2,3,0,F,M,20,2,12
L,3,E,2,3,0,F,M,80,2,12
L,3,E,2,3,0,F,M,20,2,12
L,3,E,2,3,0,F,M,20,2,12
L,3,E,2,3,0,F,M,20,2,12
L,3,E,2,3,0,F,M,20,2,12
L,3,E,10,3,0,F,M,80,2,12
L,3,E,10,3,0,F,M,20,2,12
L,3,E,10,3,0,F,M,20,2,12
L,3,E,10,3,0,F,M,20,2,12
L,3,E,10,3,0,F,M,40,2,12
L,3,E,10,3,0,F,M,20,2,12
L,3,E,10,3,0,F,M,20,2,12
L,3,E,10,3,0,F,M,20,2,12
L,3,E,10,3,0,F,M,40,2,12
L,3,E,10,3,0,F,M,40,2,12
L,3,E,10,3,0,F,M,20,2,12
L,3,E,10,3,0,F,M,40,2,12
L,3,E,10,3,0,F,M,40,2,12
L,3,E,10,3,0,F,M,20,2,12
L,3,E,27,3,1,F,F,60,2,12
L,3,E,20,3,3,F,M,20,2,12
L,3,E,20,3,3,F,M,20,2,12
L,3,E,20,3,3,F,M,20,2,12
L,3,E,20,3,3,F,M,40,2,12
L,3,E,20,3,3,F,M,40,2,12
L,3,E,20,3,3,F,M,20,2,12
L,3,E,20,3,3,F,M,20,2,12
L,3,E,20,3,3,F,M,20,2,12
L,3,E,20,3,3,F,M,20,2,12
L,3,E,17,3,3,F,F,20,2,12
L,3,E,17,3,3,F,F,20,2,12
L,3,E,17,3,3,F,F,20,2,12
L,3,E,17,3,3,F,F,20,2,12
L,3,E,17,3,3,F,F,20,2,12
L,3,E,17,3,3,F,F,20,2,12
L,3,E,17,3,3,F,F,20,2,12
L,3,E,13,3,3,F,F,20,2,12
L,3,E,13,3,3,F,F,20,2,12
L,3,E,13,3,3,F,F,20,2,12
L,3,E,6,3,3,F,M,20,2,12
L,3,E,30,3,3,F,F,20,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,80,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,60,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,20,2,12
L,7,E,2,3,0,F,M,40,2,12
L,7,E,15,3,3,F,M,20,2,12
L,7,E,10,3,0,F,M,120,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,40,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,60,2,12
L,7,E,10,3,0,F,M,40,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,40,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,40,2,12
L,7,E,10,3,0,F,M,40,2,12
L,7,E,10,3,0,F,M,40,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,40,2,12
L,7,E,10,3,0,F,M,20,2,12
L,7,E,10,3,0,F,M,60,2,12
L,7,E,11,3,1,F,F,40,2,12
L,7,E,20,3,3,F,M,20,2,12
L,7,E,20,3,3,F,M,20,2,12
L,7,E,20,3,3,F,M,20,2,12
L,7,E,20,3,3,F,M,20,2,12
L,7,E,17,3,3,F,F,20,2,12
L,7,E,17,3,3,F,F,20,2,12
L,7,E,17,3,3,F,F,20,2,12
L,7,E,17,3,3,F,F,40,2,12
L,7,E,17,3,3,F,F,40,2,12
L,7,E,17,3,3,F,F,20,2,12
L,7,E,17,3,3,F,F,40,2,12
L,7,E,4,3,1,F,M,20,2,12
L,7,E,13,3,3,F,F,20,2,12
L,7,E,13,3,3,F,F,20,2,12
