h1,m1,h2,m2,age1,age2,sex1,sex2,duration,day,hour
E,2,E,4,0,1,M,M,20,1,12
E,2,E,4,0,1,M,M,40,1,12
E,2,E,4,0,1,M,M,20,1,9
E,2,E,4,0,1,M,M,20,1,12
E,2,E,4,0,1,M,M,40,1,9
E,2,E,4,0,1,M,M,80,1,9
E,2,E,4,0,1,M,M,20,1,12
E,2,E,4,0,1,M,M,20,1,12
E,2,E,4,0,1,M,M,40,1,12
E,2,E,4,0,1,M,M,40,1,7
E,2,E,4,0,1,M,M,80,1,7
E,2,E,4,0,1,M,M,80,1,7
E,2,E,4,0,1,M,M,80,1,7
E,2,E,4,0,1,M,M,20,1,7
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,40,1,7
E,2,E,4,0,1,M,M,80,1,7
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,200,1,7
E,2,E,4,0,1,M,M,20,1,15
E,2,E,4,0,1,M,M,80,1,7
E,2,E,4,0,1,M,M,20,1,20
E,2,E,4,0,1,M,M,20,1,15
E,2,E,4,0,1,M,M,60,1,7
E,2,E,4,0,1,M,M,20,1,9
E,2,E,4,0,1,M,M,40,1,7
E,2,E,4,0,1,M,M,40,1,16
E,2,E,4,0,1,M,M,60,1,13
E,2,E,4,0,1,M,M,20,1,7
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,40,1,13
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,40,1,13
E,2,E,4,0,1,M,M,60,1,13
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,40,1,10
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,40,1,10
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,40,1,10
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,40,1,10
E,2,E,4,0,1,M,M,40,1,13
E,2,E,4,0,1,M,M,20,1,11
E,2,E,4,0,1,M,M,20,1,11
E,2,E,4,0,1,M,M,20,1,16
E,2,E,4,0,1,M,M,20,1,16
E,2,E,4,0,1,M,M,60,1,19
E,2,E,4,0,1,M,M,20,1,10
E,2,E,4,0,1,M,M,20,1,16
E,2,E,4,0,1,M,M,20,1,16
E,2,E,4,0,1,M,M,20,1,16
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,60,1,14
E,2,E,4,0,1,M,M,20,1,10
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,20,1,17
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,60,1,11
E,2,E,4,0,1,M,M,20,1,16
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,20,1,20
E,2,E,4,0,1,M,M,80,1,20
E,2,E,4,0,1,M,M,40,1,20
E,2,E,4,0,1,M,M,20,1,20
E,2,E,4,0,1,M,M,80,1,20
E,2,E,4,0,1,M,M,20,1,14
E,2,E,4,0,1,M,M,40,1,20
E,2,E,4,0,1,M,M,20,1,20
E,2,E,4,0,1,M,M,40,1,20
E,2,E,4,0,1,M,M,20,1,20
E,2,E,4,0,1,M,M,40,1,20
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,20,1,20
E,2,E,4,0,1,M,M,20,1,8
E,2,E,4,0,1,M,M,20,1,8
E,2,E,4,0,1,M,M,20,1,20
E,2,E,4,0,1,M,M,20,1,13
E,2,E,4,0,1,M,M,20,1,7
E,2,E,4,0,1,M,M,20,1,7
