,level_0,index,exporter,importer,value,quantity
0,0,988428,BRA,USA,1121636.683,445697.448
1,1,891532,BRA,DEU,1064638.225,405595.004
2,2,2042628,COL,USA,1269903.917,282343.76
3,3,8348975,VNM,DEU,380164.46,207870.093
4,4,908256,BRA,ITA,477022.145,176465.222
5,5,852446,BRA,BEL,493990.676,172359.992
6,6,911315,BRA,JPN,402339.384,148581.894
7,7,8430479,VNM,USA,239161.087,131925.503
8,8,8362071,VNM,ITA,230229.747,129367.203
9,9,3794436,HND,USA,351276.082,106469.532
10,10,10183426,UGA,ITA,177880.056,101376.0
11,11,8364040,VNM,JPN,178215.412,100182.834
12,12,3767943,GTM,USA,375586.303,90113.333
13,13,3785964,HND,DEU,284699.649,86347.576
14,14,8402626,VNM,RUS,136427.715,81237.887
15,15,3497385,DEU,POL,225995.865,77595.841
16,16,8414757,VNM,ESP,114627.332,73636.091
17,17,6631365,NIC,USA,235200.325,67812.457
18,18,869765,BRA,COL,125205.075,67201.085
19,19,981803,BRA,TUR,155879.129,59051.396
20,20,2621099,ETH,DEU,183882.74,58811.076
21,21,7876802,IND,ITA,123901.694,58485.147
22,22,2000576,COL,CAN,247137.752,57031.774
23,23,970523,BRA,ESP,138560.801,56561.757
24,24,8311974,VNM,DZA,99643.739,56525.3
25,25,956852,BRA,RUS,132829.252,56172.845
26,26,4213232,IDN,USA,199682.991,55739.408
27,27,924563,BRA,MEX,91562.003,54423.9
28,28,2014571,COL,DEU,238812.177,53800.73
29,29,10183101,UGA,DEU,101509.585,52953.014
30,30,1997241,COL,BEL,248519.875,51825.976
31,31,5873383,MEX,USA,190880.248,48556.212
32,32,4210503,IDN,EGY,89082.656,48521.298
33,33,888013,BRA,FRA,120068.377,48375.293
34,34,2021749,COL,JPN,216268.549,47953.633
35,35,2626372,ETH,SAU,153822.919,47554.578
36,36,8419788,VNM,THA,65809.571,46154.047
37,37,586149,BEL,FRA,194602.811,44780.181
38,38,985825,BRA,GBR,122545.696,43998.686
39,39,678952,BEL,NLD,156387.666,43678.634
40,40,860482,BRA,CAN,109657.41,42991.847
41,41,6876072,PER,USA,177468.602,42554.586
42,42,8377907,VNM,MYS,64771.638,39529.741
43,43,8318551,VNM,BEL,111574.394,39153.923
44,44,6855824,PER,DEU,163465.294,38587.757
45,45,914368,BRA,KOR,109084.351,38484.631
46,46,973738,BRA,SWE,93411.957,36972.027
47,47,3780267,HND,BEL,131289.043,35680.712
48,48,8333202,VNM,CHN,54488.34,33180.85
49,49,7845283,IND,DEU,76357.569,31855.56
50,50,8399229,VNM,POL,32907.528,31786.904
51,51,8428377,VNM,GBR,55429.568,31652.391
52,52,895102,BRA,GRC,73284.762,31289.587
53,53,8367914,VNM,KOR,54297.619,30934.292
54,54,4197000,IDN,ESP,52303.292,30834.824
55,55,2630876,ETH,USA,164191.734,30126.669
56,56,2022113,COL,KOR,138029.994,29832.501
57,57,2085823,CRI,USA,136267.536,28969.023
58,58,4152316,IDN,MYS,48888.587,28866.406
59,59,931387,BRA,NLD,71389.435,26129.353
60,60,4141421,IDN,JPN,61151.532,24972.73
61,61,975027,BRA,CHE,28145.317,24449.008
62,62,843862,BRA,ARG,54810.033,24112.967
63,63,887080,BRA,FIN,67812.961,23274.905
64,64,4139669,IDN,ITA,40901.492,23094.528
65,65,2617854,ETH,BEL,55140.149,22668.883
66,66,3744379,GTM,CAN,90762.286,22296.782
67,67,846835,BRA,AUS,68425.03,22278.413
68,68,7767585,IND,BEL,85266.995,22146.285
69,69,6846986,PER,COL,45994.518,21990.23
