,level_0,index,exporter,importer,value,quantity
0,0,701791,BEL,POL,942.567,9.35
1,1,1218769,CAN,BEL,625.517,1.411
2,2,1222763,CAN,BWA,207346.587,0.711
3,3,1336186,CAN,IND,180283.859,0.645
4,4,8665672,ZAF,ARE,207921.077,0.356
5,5,588925,BEL,FRA,16088.34,0.337
6,6,3911200,HKG,IND,122962.274,0.336
7,7,8548916,ZAF,BEL,112091.861,0.269
8,8,2983242,FRA,ITA,200.187,0.242
9,9,628826,BEL,ITA,32000.597,0.231
10,10,10600437,GBR,IND,102156.88,0.21
11,11,9764794,ARE,IND,24200.425,0.16
12,12,604073,BEL,GRC,815.452,0.154
13,13,8688598,ZWE,ARE,23369.566,0.138
14,14,727043,BEL,IND,24777.573,0.137
15,15,11008913,USA,IND,22849.113,0.094
16,16,698574,BEL,PHL,8.105,0.059
17,17,10790833,USA,DOM,1699.028,0.056
18,18,3388156,DEU,ITA,44.25,0.049
19,19,2575542,DOM,USA,78.422,0.041
20,20,8684208,ZWE,BEL,31815.535,0.038
21,21,8831236,ESP,ITA,7.954,0.036
22,22,10830925,USA,GTM,30.524,0.033
23,23,853403,BRA,BEL,24237.229,0.029
24,24,777679,BEL,GBR,5530.99,0.028
25,25,8646492,ZAF,IND,9188.656,0.026
26,26,3771575,GIN,ARE,4935.447,0.023
27,27,4444273,ITA,BEL,1376.143,0.023
28,28,6343379,NLD,ITA,12.071,0.021
29,29,8034915,IND,TUN,661.915,0.019
30,30,4522538,ITA,FRA,126.298,0.019
31,31,1378268,CAF,ARE,11237.375,0.018
32,32,8647806,ZAF,SGP,2423.814,0.018
33,33,8182657,SGP,IND,2337.692,0.018
34,34,4609018,ITA,MLT,591.131,0.016
35,35,10984969,USA,QAT,169.198,0.016
36,36,1865722,CHN,SAU,0.608,0.016
37,37,4531682,ITA,DEU,111.59,0.015
38,38,4537795,ITA,GRC,185.27,0.014
39,39,3351277,DEU,GRC,41.297,0.014
40,40,621974,BEL,IRL,2694.129,0.013
41,41,763674,BEL,TUN,201.596,0.012
42,42,4720533,ITA,SWE,133.385,0.012
43,43,4400803,ISR,ESP,110.114,0.012
44,44,681644,BEL,NLD,4.383,0.012
45,45,7399673,ROU,ITA,2.274,0.012
46,46,1048656,BGR,ITA,2.233,0.012
